id,dim_1,dim_2,dim_3,dim_4,dim_5
row_105,9.8096,9.262,-6.4305,5.2646,6.2745
row_106,7.6099,8.4831,-8.0747,4.3878,5.0056
row_107,10.3484,8.9875,-6.2758,7.8471,5.8484
row_108,9.445,10.3647,-7.0957,4.964,6.24
row_109,6.1864,10.3794,-8.6435,6.3697,7.6743
row_110,8.6622,8.2536,-6.408,2.9273,6.4646
row_111,10.744,11.963,-7.7346,2.937,4.2965
row_112,8.1876,7.8481,-9.059,5.4057,6.5846
row_113,8.3483,11.3788,-6.8617,4.8474,7.164
row_114,7.6432,8.8771,-7.693,1.5714,5.9641
row_115,10.6293,8.4205,-5.8389,5.671,6.3177
row_116,9.9477,8.6325,-7.0327,3.0811,4.1673
row_117,10.1478,7.7597,-5.3986,4.5188,8.0045
row_118,7.1444,8.3975,-7.7644,4.1336,7.4406
row_119,6.4397,10.823,-8.1752,3.801,5.3025
row_120,10.1306,9.3357,-7.2364,2.3582,3.7173
row_121,-7.2512,6.3974,6.1122,-2.2004,-5.2978
row_122,-10.3552,4.8296,8.4846,-2.0555,-0.6733
row_123,-7.9984,7.9139,6.443,-4.2457,-2.4141
row_124,-9.0659,7.3098,9.9472,-4.875,-4.9808
row_125,-8.2532,8.4062,9.8587,-1.8396,-3.0457
row_126,-9.7301,5.0121,4.2298,-5.1829,-4.407
row_127,-10.2444,5.6486,10.4517,-5.0457,-3.9348
row_128,-8.7794,8.7695,7.3839,-1.7985,-4.298
row_129,-10.2632,4.9109,6.3863,-5.1981,-2.9632
row_130,-9.1215,8.3247,7.5941,-8.2786,-5.5784
row_131,-11.4364,5.7774,6.8577,-3.446,-5.3172
row_132,-9.6455,7.1072,6.4245,-4.4119,-4.7134
row_133,-9.6272,5.6821,7.4892,-7.2539,-3.2628
row_134,-8.8405,4.7687,6.8166,-5.7796,-6.5697
row_135,-10.1733,7.5257,8.8524,-4.4687,-4.0553
row_136,-9.7827,9.2505,8.1614,-7.171,-5.94
row_137,-12.1621,9.6688,7.9242,-3.7137,-2.8834
row_138,-6.6454,6.6023,7.5565,-3.1348,-9.1946
row_139,-11.374,5.9728,7.2672,-1.5618,-6.0886
row_140,-8.0196,7.0325,5.9096,-6.857,-4.7059
row_141,-7.7405,6.0056,7.5391,-6.2992,-3.5822
row_142,-8.9303,5.947,9.1063,-3.3121,-2.7688
row_143,-5.2852,7.8218,8.1283,-4.9735,-5.0946
row_144,-7.8925,7.3612,9.1989,-5.7114,-3.7835
row_145,-8.3507,6.4154,6.7725,-5.0208,-5.2814
row_146,-11.5386,9.2758,5.4645,-4.4486,-6.8406
row_147,-9.8136,9.6586,6.2844,-5.4442,-1.9781
row_148,-8.6375,8.4427,7.8392,-2.9356,-3.5164
row_149,-8.4756,5.1453,5.606,-5.4264,-4.503
row_150,-9.1385,5.5046,8.573,-7.3746,-3.1946
row_151,-7.2369,6.4423,6.9522,-3.8357,-3.9846
row_152,-12.1281,1.7213,9.0036,-4.8941,-3.0091
row_153,-10.487,6.0527,7.2864,-3.8815,-4.4556
row_154,-7.9399,7.8999,7.6064,-5.937,-2.3494
row_155,-7.5964,8.7822,7.8302,-4.1164,-2.9073
row_156,-10.2059,7.7462,7.931,-7.5345,-4.6795
row_157,-9.1062,6.4666,9.1173,-4.2363,-3.1332
row_158,-6.1921,4.5245,10.0461,-1.5196,-6.3264
row_159,-9.5497,7.7715,8.776,-8.2597,-2.3261
row_160,-8.3074,7.4217,6.4999,-5.1231,-5.6087
row_161,-10.3425,5.0463,10.1411,-4.78,-2.9633
row_162,-8.1711,4.3787,9.5778,-5.4989,-2.5278
row_163,-7.9647,8.3456,8.7005,-4.5781,-4.3239
row_164,-10.0666,8.3895,6.4898,-6.6436,-6.4618
row_165,-7.2849,4.2404,6.6867,-6.3382,-3.1655
row_166,-7.7148,8.0868,5.8354,-8.4554,-1.139
row_167,-8.9493,7.8004,12.3053,-2.8438,-2.454
row_168,-7.8882,5.719,9.2457,-3.062,-3.0866
row_169,-10.9123,8.0555,8.3669,-6.4004,-5.678
row_170,-9.6878,5.4177,5.68,-5.0082,-3.571
row_171,-9.5285,9.6988,8.5162,-5.0947,-2.8257
row_172,-7.7225,7.562,8.5928,-2.4774,-5.1893
row_173,-10.7098,7.0395,7.6078,-3.7918,-5.6014
row_174,-8.8951,5.8649,5.5467,-5.3805,-3.16
row_175,-8.5125,8.3488,7.5536,-7.4604,-4.4001
row_176,-10.0552,7.4585,4.2812,-3.3217,-4.3394
row_177,-9.2416,6.424,9.2164,-5.3266,-3.6603
row_178,-7.9977,7.8961,6.6614,-6.5857,-3.1143
row_179,-8.6744,3.5683,8.18,-4.0206,-4.9194
row_180,-8.0923,8.3252,7.3308,-5.4078,-3.7962
