id,dim_1,dim_2,dim_3,dim_4,dim_5
row_52,5.4166,-7.9504,2.3602,2.9316,-8.4992
row_53,-0.3307,-3.5125,8.6524,-3.1542,-6.8688
row_54,8.0295,4.6799,-1.6097,4.6094,-4.9372
row_55,-8.5627,4.9186,0.7254,6.1907,7.1968
row_56,-8.0855,5.6304,5.1487,-0.3128,-2.555
row_57,-4.9,0.9759,3.3792,-3.7533,-5.7864
row_58,-7.7004,-0.7677,-2.889,3.3064,-9.8257
row_59,-8.222,-4.2564,7.8975,6.1262,9.4375
row_60,-7.5141,-8.6292,-7.3171,6.826,-4.8895
row_61,-3.5603,2.2579,-7.5021,1.3318,-0.9426
row_62,-0.1002,-2.4034,1.4798,-3.5276,5.543
row_63,6.3317,-0.9963,-8.4991,-8.0772,4.2007
row_64,-3.7955,-1.9075,-5.3744,6.2546,-8.6695
row_65,6.409,-2.1412,6.2807,-3.8327,6.8275
row_66,-5.0664,-6.062,-0.47,2.4593,-2.9554
row_67,0.6364,6.4222,-0.788,1.5202,2.4761
row_68,-6.8905,8.5483,-7.9562,1.7138,8.1627
row_69,3.2755,-2.1626,4.5887,7.5928,-2.1572
row_70,3.206,-3.2233,-4.3752,-8.7868,3.4263
row_71,7.5828,-7.4157,-8.1151,-5.6254,4.4579
row_72,0.1308,1.0858,-8.788,-0.6577,-3.2319
row_73,-6.1117,-0.0202,3.2451,-4.8439,9.9282
row_74,3.3203,8.415,3.136,4.7455,-2.2907
row_75,-5.7574,-6.7579,-6.2927,5.7284,-1.889
row_76,5.3177,9.7154,7.4667,3.5765,0.2847
row_77,9.8854,-2.6374,-6.0824,1.2638,-3.9235
row_78,9.4445,-8.5349,4.0812,6.1024,-8.8216
row_79,-0.2473,-1.2422,-9.3803,8.9926,5.3022
row_80,4.8631,3.2711,8.3492,-8.3996,-4.5222
row_81,-1.7047,0.6609,-0.7805,-2.6744,8.9564
row_82,-8.3947,8.3946,-6.3716,-0.6043,-9.997
row_83,-2.3079,-9.429,2.8861,-7.9319,5.0545
row_84,3.5977,0.836,3.9857,-4.2926,-8.4182
row_85,-4.4188,-2.2207,-6.4547,0.5125,9.4021
row_86,-5.5887,2.9323,1.6504,-9.3498,2.0565
row_87,0.54,5.8228,7.0039,0.5792,0.6849
row_88,0.633,-8.494,5.7151,6.9936,7.0742
row_89,-8.1471,-6.771,5.694,5.8625,8.8845
row_90,6.2179,-1.4201,0.2081,7.1101,-7.3475
row_91,9.4618,5.5616,-6.062,-7.6377,-6.5851
row_92,-9.8946,7.624,4.4601,-2.1708,4.9377
row_93,-0.6264,-7.8575,-2.7334,3.4162,2.7004
row_94,-9.0465,8.0419,3.3978,-6.525,3.3264
row_95,5.1462,2.2019,3.8812,-6.9769,-7.1799
row_96,-9.7284,1.6349,-0.7202,-4.4856,0.2851
row_97,1.8759,-4.6711,-8.3543,8.7125,-0.1721
row_98,7.3373,4.1402,4.6432,-1.2875,9.9294
row_99,3.6222,2.6838,8.5039,-7.3236,2.1924
row_100,-2.3746,-0.1342,-7.2165,5.4064,-2.9958
row_101,-9.2711,8.0742,1.282,-0.4692,7.2718
row_102,-3.0808,3.5028,9.4867,-6.3586,-9.882
row_103,-6.5733,0.2335,-1.6871,4.4037,-9.9607
row_104,3.3976,-5.9928,-1.4728,8.4354,-5.1997
row_105,-6.8981,4.3847,-7.4936,-7.7632,4.6716
row_106,-4.2928,5.8283,0.5765,6.435,6.6297
row_107,-6.8364,6.4537,-0.6127,5.8967,8.6839
row_108,9.9373,-4.2334,-8.8906,3.1172,-6.806
row_109,6.624,7.3337,1.4257,3.4978,6.6286
row_110,-2.4619,-9.6016,3.9263,0.6793,5.3441
row_111,2.3679,-0.1716,-6.8488,-1.4862,7.8296
row_112,5.6748,3.4982,-5.6346,1.7365,5.4684
row_113,-6.2099,3.8676,-1.3279,-9.3795,-5.8866
row_114,-1.538,5.1633,5.4482,-2.3995,-3.4296
row_115,3.2665,3.3362,-4.0459,6.9044,-2.2238
row_116,-6.4338,5.3635,2.2086,-5.8548,-2.6054
row_117,5.2483,5.5834,-5.2147,-9.3494,4.177
row_118,-5.7023,4.0482,8.4697,-8.6263,-9.7128
row_119,7.3598,-9.6231,4.0652,9.4281,-9.6511
row_120,-5.8632,4.8044,-7.9583,-3.7024,8.1566
row_121,-8.5152,-2.8115,9.8966,-0.1879,-7.7172
row_122,-1.2463,3.943,9.0265,0.1318,-8.0654
row_123,-5.7925,4.5842,-1.2853,-7.2852,8.9602
row_124,8.3336,-6.4319,7.1169,-8.9369,9.1688
row_125,1.5577,-4.5127,1.0162,7.8694,-6.6223
row_126,-6.631,8.801,-1.6117,-7.7822,-5.5046
row_127,1.2122,7.2765,-0.2955,6.283,-3.391
row_128,3.8261,3.6253,-1.5733,2.3298,-7.2092
row_129,8.247,4.8785,-5.462,5.3587,-8.5866
row_130,7.2174,-8.7592,3.2863,-4.3392,-5.7011
row_131,-5.2774,-7.2262,3.4614,-8.4927,4.7714
row_132,1.8896,-3.9739,-7.8084,3.2778,5.4275
row_133,9.0392,8.6288,0.9389,-2.7816,4.6137
row_134,7.0516,-2.4803,-9.258,-5.1032,-5.6276
row_135,9.0323,1.4694,9.55,3.4572,-4.4225
row_136,1.2546,7.9906,3.9305,-9.4995,-3.3827
row_137,-8.8376,1.0845,5.7855,7.4336,8.4607
row_138,2.5944,1.5976,2.6056,-8.2904,6.5679
row_139,2.3975,-8.4626,1.1898,-4.3502,-9.7628
row_140,9.3131,0.9631,5.9736,-6.8789,4.975
row_141,-7.0915,1.0161,6.22,0.8393,5.0863
row_142,8.8114,-5.1098,4.065,-7.1297,8.1277
row_143,7.0349,-1.2164,0.4386,8.378,-5.1883
row_144,8.5575,-9.1814,8.6411,-2.1164,-3.6386
row_145,8.8575,9.8836,-4.1429,9.112,8.1153
row_146,4.7209,-1.0575,7.7398,-4.1103,5.4998
row_147,-9.1681,-9.6798,-3.6382,0.176,9.3275
row_148,-6.5145,-4.4085,8.9997,-7.5432,-9.3459
row_149,-8.9338,1.0484,-1.5207,-1.9036,-5.5446
row_150,-9.1112,5.8757,7.9566,-1.8433,0.7683
row_151,7.1864,6.8601,8.9517,9.2028,9.8107
row_152,-0.47,4.5084,3.2336,0.7568,-0.3306
row_153,-7.8734,7.092,6.8365,3.1963,2.7703
row_154,9.9517,7.8511,8.3488,-1.1658,4.3174
row_155,-8.3939,9.6473,-4.2427,-0.3741,0.8665
row_156,-8.9909,0.0839,6.9689,0.6668,-8.1601
row_157,-8.2584,0.3749,0.8937,7.9778,7.2404
row_158,1.6982,6.9791,9.0858,5.8367,-8.1306
row_159,-8.7003,-4.8222,-3.5595,6.1289,6.3164
row_160,-2.513,-0.825,3.4508,7.0284,-2.987
row_161,-4.211,-6.7528,-8.2661,2.5995,4.4409
row_162,8.5957,8.1328,0.9908,2.0425,5.6943
row_163,1.2888,6.582,2.5084,-2.8681,-1.8504
row_164,2.448,9.5515,-0.7344,-0.8734,0.3276
row_165,6.2813,5.8616,5.5083,6.1922,9.7585
row_166,3.0353,-3.5826,4.1536,0.0574,-4.0335
row_167,-6.6877,-7.1404,-4.2151,2.6881,5.009
row_168,6.0456,-3.8775,-8.0632,6.7747,-8.9914
row_169,-9.2531,-7.535,-4.4399,-6.809,-6.4214
row_170,-3.1161,1.5767,3.9541,1.395,-4.4568
row_171,-4.8151,-0.2074,5.9013,-2.436,-7.9325
row_172,-0.2069,4.9884,-4.5049,6.9875,-4.7528
row_173,-9.88,-9.3459,-0.6957,-3.5733,-6.2667
row_174,-1.0453,5.0312,-4.1436,7.454,-5.2837
row_175,-2.9948,-4.1915,-6.9431,-7.3684,6.9048
row_176,-8.6685,3.0968,-1.5715,3.3228,-9.928
row_177,4.5909,-8.2647,-1,8.107,-6.079
row_178,-4.5532,-7.8183,9.3548,0.7556,7.678
row_179,7.3461,6.8714,-8.5151,-9.0173,5.9701
row_180,5.9024,-7.5112,-9.8625,5.5309,6.0343
